id,name,date,director,actor,language
1011449,Sita Ramam,2022.0,Hanu Raghavapudi,Dulquer Salmaan,Telugu
1011572,Chithha,2023.0,S. U. Arunkumar,Siddharth,Tamil
1011596,Fighter,2024.0,Siddharth Anand,Hrithik Roshan,Hindi
1011623,Wake Up Sid,2009.0,Ayan Mukerji,Ranbir Kapoor,Hindi
1011625,K.G.F: Chapter 1,2018.0,Prashanth Neel,Yash,Kannada
1011660,Viduthalai: Part I,2023.0,Vetrimaaran,Soori,Tamil
1011664,Happy New Year,2014.0,Farah Khan,Shah Rukh Khan,Hindi
1011697,Vada Chennai,2018.0,Vetrimaaran,Dhanush,Tamil
1011746,Delhi Belly,2011.0,Abhinay Deo,Imran Khan,Hindi
1011761,Nanpakal Nerathu Mayakkam,2022.0,Lijo Jose Pellissery,Mammootty,Malayalam
1011803,A Night of Knowing Nothing,2021.0,Payal Kapadia,Bhumisuta Das,Hindi
1011881,Maaveeran,2023.0,Madonne Ashwin,Sivakarthikeyan,Tamil
1011894,Darlings,2022.0,Jasmeet K Reen,Alia Bhatt,Hindi
1011972,Udaan,2010.0,Vikramaditya Motwane,Ronit Roy,Hindi
1012039,Pushpa: The Rise,2021.0,Sukumar,Allu Arjun,Telugu
1012056,Awaara,1951.0,Raj Kapoor,Prithviraj Kapoor,Hindi
1012096,Kahaani,2012.0,Sujoy Ghosh,Vidya Balan,Hindi
1012097,Jodhaa Akbar,2008.0,Ashutosh Gowariker,Hrithik Roshan,Hindi
1012182,"Monica, O My Darling",2022.0,Vasan Bala,Rajkummar Rao,Hindi
1012209,October,2018.0,Shoojit Sircar,Varun Dhawan,Hindi
1012215,Dev.D,2009.0,Anurag Kashyap,Abhay Deol,Hindi
1012300,Minnal Murali,2021.0,Basil Joseph,Tovino Thomas,Malayalam
1012311,Dhoom 2,2006.0,Sanjay Gadhvi,Hrithik Roshan,Hindi
1012388,Sapta Sagaradaache Ello – Side A,2023.0,Hemanth M. Rao,Rakshit Shetty,Kannada
1012403,Amar Singh Chamkila,2024.0,Imtiaz Ali,Diljit Dosanjh,Hindi
1012447,Goliyon Ki Raasleela Ram-Leela,2013.0,Sanjay Leela Bhansali,Ranveer Singh,Hindi
1012494,Crew,2024.0,Rajesh Krishnan,Tabu,Hindi
1012501,English Vinglish,2012.0,Gauri Shinde,Sridevi,Hindi
1012549,Ae Dil Hai Mushkil,2016.0,Karan Johar,Ranbir Kapoor,Hindi
1012585,Kaathal - The Core,2023.0,Jeo Baby,Mammootty,Malayalam
1012662,Shaitaan,2024.0,Vikas Bahl,Ajay Devgan,Hindi
1012701,The Goat Life,2024.0,Blessy,Prithviraj Sukumaran,Malayalam
1012756,Laal Singh Chaddha,2022.0,Advait Chandan,Aamir Khan,Hindi
1012775,Joji,2021.0,Dileesh Pothan,Fahadh Faasil,Malayalam
1012822,Ra.One,2011.0,Anubhav Sinha,Shah Rukh Khan,Hindi
1012826,Por Thozhil,2023.0,Vignesh Raja,Ashok Selvan,Tamil
1012956,96,2018.0,C. Prem Kumar,Vijay Sethupathi,Tamil
1012968,Talaash,2012.0,Reema Kagti,Aamir Khan,Hindi
1012972,Master,2021.0,Lokesh Kanagaraj,Vijay,Tamil
1013016,Thiruchitrambalam,2022.0,Mithran Jawahar,Dhanush,Tamil
1013094,Highway,2014.0,Imtiaz Ali,Alia Bhatt,Hindi
1013167,Duvidha,1973.0,Mani Kaul,Raisa Padamsee,Hindi
1013183,Student of the Year,2012.0,Karan Johar,Sidharth Malhotra,Hindi
1013184,Don,2006.0,Farhan Akhtar,Shah Rukh Khan,Hindi
1013189,The Great Indian Kitchen,2021.0,Jeo Baby,Nimisha Sajayan,Malayalam
1013298,Parking,2023.0,Ramkumar Balakrishnan,Harish Kalyan,Tamil
1013332,Anweshippin Kandethum,2024.0,Darwin Kuriakose,Tovino Thomas,Malayalam
1013370,Raazi,2018.0,Meghna Gulzar,Alia Bhatt,Hindi
1013407,Bangalore Days,2014.0,Anjali Menon,Nazriya Nazim Fahadh,Malayalam
1013523,Manichitrathazhu,1993.0,Fazil,Shobana,Malayalam
1013621,83,2021.0,Kabir Khan,Ranveer Singh,Hindi
1013674,Mukundan Unni Associates™,2022.0,Abhinav Sunder Nayak,Vineeth Sreenivasan,Malayalam
1013720,The Archies,2023.0,Zoya Akhtar,Agastya Nanda,Hindi
1013731,Thallumaala,2022.0,Khalid Rahman,Tovino Thomas,Malayalam
1013768,Writing with Fire,2021.0,Rintu Thomas,Meera Devi,Hindi
1013775,The Stranger,1991.0,Satyajit Ray,Utpal Dutt,"Bengali, Bangla"
1013782,2018,2023.0,Jude Anthany Joseph,Tovino Thomas,Malayalam
1013785,Vikram Vedha,2017.0,Pushkar,R. Madhavan,Tamil
1013791,Sarpatta Parambarai,2021.0,Pa. Ranjith,Arya,Tamil
1013851,Anantaram,1987.0,Adoor Gopalakrishnan,Ashokan,Malayalam
1013853,Sanju,2018.0,Rajkumar Hirani,Ranbir Kapoor,Hindi
1013916,War,2019.0,Siddharth Anand,Hrithik Roshan,Hindi
1013942,Enthiran,2010.0,Shankar,Rajinikanth,Tamil
1013956,Mohabbatein,2000.0,Aditya Chopra,Amitabh Bachchan,Hindi
1014014,Hey Ram,2000.0,Kamal Haasan,Kamal Haasan,Tamil
1014056,House of Secrets: The Burari Deaths,2021.0,Leena Yadav,,Hindi
1014119,Dhoom 3,2013.0,Vijay Krishna Acharya,Aamir Khan,Hindi
1014187,Talvar,2015.0,Meghna Gulzar,Irrfan Khan,Hindi
